year,river,site,month,season,date,ID,sample,d13C,C%,C13/C12,d15N,N%,N15/N14
2021,PX,PX4,March,winter,26/03/2021,3-PX-4,sediment,-25.73373716,1.0326,NA,6.582882682,0.132437,NA
2021,PX,PX5,March,winter,26/03/2021,3-PX-5,sediment,-26.18488521,0.969426,NA,6.407056584,0.126611,NA
2021,PX,PX6,March,winter,26/03/2021,3-PX-6,sediment,-26.13663167,1.04498,NA,5.249849686,0.141126,NA
2021,MD,MD2,March,winter,24/03/2021,3-MD-2,sediment,-25.93658224,0.620431,NA,5.748692452,0.17126,NA
2021,MD,MD3,March,winter,24/03/2021,3-MD-3,sediment,-26.15362363,1.12012,NA,4.873711321,0.171505,NA
2021,MD,MD4,March,winter,24/03/2021,3-MD-4,sediment,-26.21919087,1.06553,NA,5.280075465,0.158362,NA
2021,PX,PX4,September,summer,3/09/2021,9-PX-4,sediment,-26.694,1.076462,0.0108818,1.582,0.36705,0.003684
2021,PX,PX5,September,summer,3/09/2021,9-PX-5,sediment,-29.21,1.073709,0.0108536,-0.868,0.366155,0.003675
2021,PX,PX6,September,summer,3/09/2021,9-PX-6,sediment,-26.457,1.076721,0.0108844,0.509,0.366658,0.0036801
2021,MD,MD2,September,summer,4/09/2021,9-MD-4,sediment,-25.628,1.077628,0.0108937,0.626,0.366701,0.0036805
2021,MD,MD3,September,summer,4/09/2021,9-MD-5,sediment,-29.201,1.073719,0.0108537,-1.276,0.366006,0.0036735
2021,MD,MD4,September,summer,4/09/2021,9-MD-6,sediment,-26.733,1.07642,0.0108813,-2.01,0.365738,0.0036708
2021,PX,PX4,May,spring,9/05/2021,5-PX-4,sediment,-26.617,1.076546,0.0108826,2.703,0.367459,0.0036881
2021,PX,PX5,May,spring,9/05/2021,5-PX-5,sediment,-26.321,1.07687,0.0108859,1.809,0.367133,0.0036849
2021,PX,PX6,May,spring,9/05/2021,5-PX-6,sediment,NA,NA,NA,1.185,0.366905,0.0036826
