year,month,season,date,river,site,month-site,category,name,latin name,biomass,amount,total_biomass,total_biomass_mgL,density_individualL
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Diatoms,简单舟形藻,Navicula simplex Krassk.,0.015,1,0.015,0.0001,90.9
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Diatoms,颗粒直链藻,Melosira granulata,0.007,1,0.007,0.0001,90.9
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Diatoms,颗粒直链藻最窄变种,Melosira granulata var. angustissima O.F.Müll.,0.008,2,0.016,0.0001,181.8
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Diatoms,线形菱形藻,Nitzschia linearis W. Smith,0.01,1,0.01,0.0001,90.9
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Diatoms,梅尼小环藻,Cyclotella meneghiniana Kütz.,0.002,2,0.004,0,181.8
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Diatoms,尖针杆藻,Synedra acus Kützing,0.06,1,0.06,0.0005,90.9
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Cyanobacteria,小席藻,Phormidium tenue （Menegh）Gom,0.002,2,0.004,0,181.8
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Chlorophyta,小球藻,Chlorella vulgaris Beij.,0.0002,2,0.0004,0,181.8
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Chlorophyta,小新月藻,Closterium venus Kutz,0.08,1,0.08,0.0007,90.9
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Chlorophyta,单角盘星藻,Pediastrum simplex (Mey.) Lemm.,0.002,1,0.002,0,90.9
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Chlorophyta,双对栅藻,Scenedesmus bijuga（Turp）Lag,0.0005,1,0.0005,0,90.9
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Cryptophyta,啮蚀隐藻,Cryptomonas erosa Ehr.,0.02,2,0.04,0.0004,181.8
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Euglena,绿裸藻,Euglena viridis Ehr,0.04,3,0.12,0.0011,272.7
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Diatoms,颗粒直链藻最窄变种,Melosira granulata var. angustissima O.F.Müll.,0.008,6,0.048,0.0009,1090.9
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Diatoms,梅尼小环藻,Cyclotella meneghiniana Kütz.,0.002,2,0.004,0.0001,363.6
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Diatoms,最小舟形藻,Navicula minima Grun.,0.015,2,0.03,0.0005,363.6
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Diatoms,肘状针杆藻,Synedra ulna Ehrenberg ,0.04,1,0.04,0.0007,181.8
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Diatoms,扁圆卵形藻,Cocconeis placentula (Ehr.)  Hust.,0.005,4,0.02,0.0004,727.3
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Diatoms,变异直链藻,Melosira varians Ag.,0.006,5,0.03,0.0005,909.1
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Diatoms,钝脆杆藻,Fragilaria capucina Desm.,0.01,1,0.01,0.0002,181.8
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Diatoms,线形菱形藻,Nitzschia linearis W. Smith,0.01,3,0.03,0.0005,545.5
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Diatoms,普通等片藻,Diatoma vulgure Borg.,0.03,2,0.06,0.0011,363.6
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Diatoms,尖布纹藻,Gyrosigma acuminatum (Kütz.) Rabenhorst,0.05,1,0.05,0.0009,181.8
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Diatoms,广缘小环藻,Cyclotella bodonica Eulenst.,0.007,1,0.007,0.0001,181.8
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Diatoms,双头辐节藻,Stauroneis anceps （Ehr）,0.0017,1,0.0017,0,181.8
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Cyanobacteria,小颤藻,Oscillatoria tenuis Ag,0.01,2,0.02,0.0004,363.6
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Chlorophyta,小球藻,Chlorella vulgaris Beij.,0.0002,1,0.0002,0,181.8
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Cryptophyta,啮蚀隐藻,Cryptomonas erosa Ehr.,0.02,2,0.04,0.0007,363.6
2021,Sept,summer,3/09/2021,PX,PX1,9-PX-1,Euglena,芒刺囊裸藻,Trachelomonas spinulosa (Skv.) Defl.,0.06,1,0.06,0.0011,181.8
