full_ID,ID,year,date,month,season,river,site,sample,ref,type,10_0,12_0,13_0,14_0,16_0,17_0,18_0,19_0,20_0,10_0_2oh,11_0_2oh,11_0_3oh,11_0_anteiso,12_0_anteiso,12_0_3oh,12_1_3oh,13_0_anteiso,13_0_iso,13_0_2oh,13_1_at_12_13,14_0_anteiso,14_0_iso,14_0_iso_3oh,14_1_w5c,15_0_2oh,15_0_anteiso,15_0_iso,15_0_iso_3oh,15_1_iso_g,15_1_iso_w9c,15_1_w5c,15_1_w8c,16_0_anteiso,16_0_n_alcohol,16_0_iso,16_0_iso_3oh,16_0_2oh,16_1_2oh,16_1_iso_h,16_1_w5c,16_1_w7c_alcohol,16_1_w9c,16_1_w11c,17_0_anteiso,17_0_cyclo,17_0_iso,17_0_3oh,17_0_10_methyl,17_1_anteiso_a,17_1_anteiso_w9c,17_1_w6c,17_1_w8c,18_0_iso,18_0_2oh,18_1_2oh,18_1_w5c,18_1_w7c_11_methyl,18_1_w9c,18_3_w6c_6_9_12,19_0_anteiso,19_0_cyclo_w8c,19_0_iso,20_0_iso,20_1_w7c,20_1_w9c,20_4_w6_9_12_15c,20_2_w6_9c,x16_1_w7c_16_1_w6c,x17_1_iso_i_anteiso_b,x18_0_ante_18_2_w6_9c,x19_1_w11c_19_1_w9c,x19_1_w7c_19_1_w6c,x18_1_w7c_18_1_w6c,x16_0_10_methyl_17_1_iso_w9c
2021-03-01-3-PX-4,3-PX-4,2021,1/03/2021,March,winter,PX,PX4,sediment,13,relative,NA,0.48,NA,0.59,9.42,NA,17.11,23.86,0.41,NA,0.17,NA,NA,0.42,NA,NA,1.47,NA,NA,NA,1.94,0.38,NA,NA,0.11,1.91,1.08,NA,0.64,0.15,0.5,NA,1.16,NA,1.84,0.44,NA,NA,1.59,NA,0.48,NA,NA,3.82,1.66,4.93,NA,NA,7.28,NA,NA,1.05,NA,NA,NA,NA,NA,NA,NA,NA,1.68,NA,3.2,1.19,NA,4.92,NA,NA,NA,NA,NA,2.79,1.34,NA
2021-03-01-3-PX-4,3-PX-4,2021,1/03/2021,March,winter,PX,PX4,sediment,13,absolute,NA,0.201173512,NA,0.247275775,3.948030176,NA,7.170997485,10,0.171835708,NA,7.12E-02,NA,NA,0.176026823,NA,NA,0.616093881,NA,NA,NA,0.813076278,0.159262364,NA,NA,4.61E-02,0.800502934,0.452640402,NA,0.26823135,6.29E-02,0.209555742,NA,0.486169321,NA,0.77116513,0.184409053,NA,NA,0.666387259,NA,0.201173512,NA,NA,1.601005868,0.695725063,2.066219614,NA,NA,3.051131601,NA,NA,0.440067058,NA,NA,NA,NA,NA,NA,NA,NA,0.704107293,NA,1.341156748,0.498742666,NA,2.0620285,NA,NA,NA,NA,NA,1.169321039,0.561609388,NA
2021-03-01-3-PX-5,3-PX-5,2021,1/03/2021,March,winter,PX,PX5,sediment,14,relative,NA,0.22,0.06,1,17.79,0.81,15.79,13.94,0.43,NA,0.2,NA,0.23,0.58,NA,NA,1.03,0.18,NA,NA,0.85,0.58,0.1,0.32,NA,1.81,2.42,NA,0.87,NA,0.42,NA,NA,NA,1.39,0.11,NA,NA,1.11,0.69,0.33,0.33,NA,2.13,1.66,2.9,NA,NA,3.77,NA,NA,0.81,NA,NA,0.35,NA,NA,1.17,NA,NA,1.65,NA,1.67,0.56,0.4,2.84,NA,1.99,NA,0.57,NA,1.37,3.89,8.68
2021-03-01-3-PX-5,3-PX-5,2021,1/03/2021,March,winter,PX,PX5,sediment,14,absolute,NA,0.157819225,4.30E-02,0.717360115,12.76183644,0.581061693,11.32711621,10,0.308464849,NA,0.143472023,NA,0.164992826,0.416068867,NA,NA,0.738880918,0.129124821,NA,NA,0.609756098,0.416068867,7.17E-02,0.229555237,NA,1.298421808,1.736011478,NA,0.6241033,NA,0.301291248,NA,NA,NA,0.99713056,7.89E-02,NA,NA,0.796269727,0.494978479,0.236728838,0.236728838,NA,1.527977044,1.190817791,2.080344333,NA,NA,2.704447633,NA,NA,0.581061693,NA,NA,0.25107604,NA,NA,0.839311334,NA,NA,1.183644189,NA,1.197991392,0.401721664,0.286944046,2.037302726,NA,1.427546628,NA,0.408895265,NA,0.982783357,2.790530846,6.226685796
2021-03-01-3-PX-6,3-PX-6,2021,1/03/2021,March,winter,PX,PX6,sediment,15,relative,NA,0.15,NA,0.92,15.8,0.86,12.86,15.77,0.42,NA,0.13,NA,0.09,0.31,NA,NA,0.8,0.1,NA,NA,0.94,0.49,0.13,0.23,0.12,2.02,2.24,NA,0.8,NA,0.4,NA,NA,NA,1.28,0.14,NA,NA,1.08,0.68,0.32,0.37,NA,1.97,1.48,2.88,NA,NA,3.85,NA,NA,1.01,NA,NA,0.26,3.61,NA,1.22,NA,NA,1.41,NA,1.65,0.62,NA,4.01,NA,1.99,NA,0.43,0.62,1.3,3.88,8.36
2021-03-01-3-PX-6,3-PX-6,2021,1/03/2021,March,winter,PX,PX6,sediment,15,absolute,NA,9.51E-02,NA,0.583386176,10.01902346,0.545339252,8.15472416,10,0.266328472,NA,8.24E-02,NA,5.71E-02,0.196575777,NA,NA,0.507292327,6.34E-02,NA,NA,0.596068484,0.31071655,8.24E-02,0.145846544,7.61E-02,1.280913126,1.420418516,NA,0.507292327,NA,0.253646164,NA,NA,NA,0.811667724,8.88E-02,NA,NA,0.684844642,0.431198478,0.202916931,0.234622701,NA,1.249207356,0.938490805,1.826252378,NA,NA,2.441344325,NA,NA,0.640456563,NA,NA,0.164870006,2.289156627,NA,0.773620799,NA,NA,0.894102727,NA,1.046290425,0.393151554,NA,2.54280279,NA,1.261889664,NA,0.272669626,0.393151554,0.824350032,2.460367787,5.301204819
2021-03-01-3-MD-2,3-MD-2,2021,1/03/2021,March,winter,MD,MD2,sediment,16,relative,NA,0.19,NA,0.82,13.75,0.8,14.41,16.81,0.44,NA,0.12,NA,0.09,0.27,NA,NA,0.51,0.12,NA,0.08,NA,0.46,NA,NA,0.12,1.76,2.13,NA,0.69,NA,0.42,NA,0.38,NA,1.18,0.12,NA,NA,1.06,0.78,0.36,0.35,NA,2.04,1.4,2.9,NA,NA,3.63,NA,NA,NA,0.73,NA,0.35,4.65,NA,1.38,NA,NA,1.46,NA,1.35,0.45,NA,3.97,NA,2.5,NA,0.37,NA,1.21,4.29,9.1
2021-03-01-3-MD-2,3-MD-2,2021,1/03/2021,March,winter,MD,MD2,sediment,16,absolute,NA,0.11302796,NA,0.487804878,8.179654967,0.475907198,8.572278406,10,0.261748959,NA,7.14E-02,NA,5.35E-02,0.160618679,NA,NA,0.303390839,7.14E-02,NA,4.76E-02,NA,0.273646639,NA,NA,7.14E-02,1.046995836,1.267102915,NA,0.410469958,NA,0.249851279,NA,0.226055919,NA,0.701963117,7.14E-02,NA,NA,0.630577037,0.464009518,0.214158239,0.208209399,NA,1.213563355,0.832837597,1.725163593,NA,NA,2.159428911,NA,NA,NA,0.434265318,NA,0.208209399,2.766210589,NA,0.820939917,NA,NA,0.868530637,NA,0.803093397,0.267697799,NA,2.361689471,NA,1.487209994,NA,0.220107079,NA,0.719809637,2.55205235,5.413444378
2021-03-01-3-MD-3,3-MD-3,2021,1/03/2021,March,winter,MD,MD3,sediment,17,relative,NA,0.13,NA,0.92,10.56,0.82,9.93,15.12,0.39,NA,0.15,NA,0.15,0.41,NA,0.1,0.92,0.12,NA,0.09,1.04,0.58,0.08,0.26,NA,2.46,2.59,0.42,0.72,NA,0.45,NA,0.51,NA,1.56,0.13,NA,0.23,1.05,1.2,0.31,0.5,NA,2.11,1.7,2.86,NA,NA,NA,3.6,NA,0.89,NA,NA,0.25,4.21,1.62,2.11,NA,NA,1.88,NA,1.26,0.4,NA,2.79,NA,4.11,NA,0.8,NA,1.21,5.51,8.8
2021-03-01-3-MD-3,3-MD-3,2021,1/03/2021,March,winter,MD,MD3,sediment,17,absolute,NA,8.60E-02,NA,0.608465608,6.984126984,0.542328042,6.567460317,10,0.257936508,NA,9.92E-02,NA,9.92E-02,0.271164021,NA,6.61E-02,0.608465608,7.94E-02,NA,5.95E-02,0.687830688,0.383597884,5.29E-02,0.171957672,NA,1.626984127,1.712962963,0.277777778,0.476190476,NA,0.297619048,NA,0.337301587,NA,1.031746032,8.60E-02,NA,0.152116402,0.694444444,0.793650794,0.205026455,0.330687831,NA,1.395502646,1.124338624,1.891534392,NA,NA,NA,2.380952381,NA,0.588624339,NA,NA,0.165343915,2.784391534,1.071428571,1.395502646,NA,NA,1.243386243,NA,0.833333333,0.264550265,NA,1.845238095,NA,2.718253968,NA,0.529100529,NA,0.80026455,3.644179894,5.82010582
