year,full_ID,ID,month,season,date,river,site,location,layer,TP,DTP,TN,DTN,conductivity,temp,pressure,chlorophyll,DO_sat,PAR,pH,depth,salinity,conductivity_spc,density_anomaly,DO_conc,absolute_depth,Chla_single,velocity_ms
2021,2021-03-26-3-PX-4,3-PX-4,March,winter,26/03/2021,PX,PX4,PX4-1,surface,0.07629775,0.025781188,2.686481,2.342959125,0.367541343,16.41555786,10.6134491,11.87780762,120.7278214,26.83837891,8.631695747,0.477027416,0.213177592,439.62323,-0.957200478,11.76819198,23.737854,16.4125,0.018
2021,2021-03-26-3-PX-4,3-PX-4,March,winter,26/03/2021,PX,PX4,PX4-2,middle,0.070844,0.02908325,2.78138825,2.441907375,0.377254426,15.22125244,15.91765499,2.307342529,103.8643112,0.778320313,8.390760422,5.737978935,0.225159064,463.8986816,-0.731096819,10.38535859,23.737854,17.525,0.018
2021,2021-03-26-3-PX-4,3-PX-4,March,winter,26/03/2021,PX,PX4,PX4-3,bottom,0.07629775,0.0422915,2.686481,2.469393,0.345335662,13.33703613,34.06552124,0.322174072,70.66120911,4.88E-04,7.837781906,23.737854,0.21522142,444.311676,-0.384299011,7.363841103,23.737854,9.6625,0.018
2021,2021-03-26-3-PX-5,3-PX-5,March,winter,26/03/2021,PX,PX5,PX5-1,surface,0.0773885,0.1655685,2.575755875,2.41442175,0.365537822,15.93148804,10.57959652,0.224258423,94.84496307,104.0214844,8.267932892,0.443450898,0.214402288,442.1161194,-0.876575456,9.340709755,33.40748596,1.1125,0.038
2021,2021-03-26-3-PX-5,3-PX-5,March,winter,26/03/2021,PX,PX5,PX5-2,middle,0.08502375,0.05549975,2.61266425,2.2275195,0.367674202,15.09231567,15.97086143,0.260070801,92.91538239,19.52636719,8.197833061,5.790751457,0.219989434,453.4914551,-0.715085673,9.316790113,33.40748596,4.3935,0.038
2021,2021-03-26-3-PX-5,3-PX-5,March,winter,26/03/2021,PX,PX5,PX5-3,bottom,0.08066075,0.053298375,2.744479875,2.32646775,0.439837426,13.46951294,43.8146553,0.255462646,62.600914,0.041992188,7.789642334,33.40748596,0.274942666,564.0621338,-0.309638928,6.502244413,33.40748596,1.934,0.038
2021,2021-03-26-3-PX-6,3-PX-6,March,winter,26/03/2021,PX,PX6,PX6-1,surface,0.06320875,0.047794938,2.343760375,2.0516115,0.36509791,15.75210571,10.86115456,0.434173584,91.98165131,96.79199219,8.219838142,0.722712874,0.215042502,443.4215698,-0.845866816,9.093463063,23.57695007,1.406,0.091
2021,2021-03-26-3-PX-6,3-PX-6,March,winter,26/03/2021,PX,PX6,PX6-2,middle,0.057755,0.0422915,2.306852,1.897692,0.363442272,15.28210449,15.89950943,0.514373779,88.83703613,18.85595703,8.147088051,5.71998167,0.216423318,446.2764282,-0.747340815,8.871607638,23.57695007,1.352,0.091
2021,2021-03-26-3-PX-6,3-PX-6,March,winter,26/03/2021,PX,PX6,PX6-3,bottom,0.110111,0.043392188,2.375396125,1.826229375,0.461677551,13.63323975,33.90329361,0.260147095,64.95853424,0.006835938,7.825535774,23.57695007,0.287875444,589.7056274,-0.368169323,6.722118329,23.57695007,2.2225,0.091
2021,2021-03-24-3-MD-2,3-MD-2,March,winter,24/03/2021,MD,MD2,MD2-1,surface,0.06320875,0.045593563,2.73920725,1.97465175,0.366207957,15.71859741,10.84978485,0.485137939,98.14450073,68.55126953,8.301837921,0.711435914,0.215880245,445.1157227,-0.839913657,9.709643238,25.22290993,1.115,0.0905
2021,2021-03-24-3-MD-2,3-MD-2,March,winter,24/03/2021,MD,MD2,MD2-2,middle,0.0730255,0.04669425,2.807751375,2.01862875,0.368487865,15.17230225,16.11350822,0.515869141,95.8013916,23.73632813,8.266675949,5.932235241,0.220066875,453.6402283,-0.726599382,9.589577757,25.22290993,0.824,0.0905
2021,2021-03-24-3-MD-2,3-MD-2,March,winter,24/03/2021,MD,MD2,MD2-3,bottom,0.075207,0.044492875,2.512484375,1.49090475,0.373197436,14.53466797,35.5627861,0.596115112,93.41770172,0.060546875,8.174189568,25.22290993,0.226318315,466.4313965,-0.535343613,9.480983799,25.22290993,1.352,0.0905
2021,2021-03-24-3-MD-3,3-MD-3,March,winter,24/03/2021,MD,MD3,MD3-1,surface,0.0555735,0.034586688,2.08540175,1.71078975,0.300571114,15.51956177,10.8023634,0.368408203,95.55863953,783.7392578,8.194188118,0.664401174,0.177383661,367.0318909,-0.83836356,9.496478195,28.66074371,1.115,0.025
2021,2021-03-24-3-MD-3,3-MD-3,March,winter,24/03/2021,MD,MD3,MD3-2,middle,0.06102725,0.03788875,2.5810285,1.6558185,0.335783362,14.73690796,15.93493652,0.308914185,91.8194046,32.43994141,8.168682098,5.755119801,0.202228248,417.6539917,-0.675552661,9.279161927,28.66074371,0.528,0.025
2021,2021-03-24-3-MD-3,3-MD-3,March,winter,24/03/2021,MD,MD3,MD3-3,bottom,0.0861145,0.043392188,2.22249,1.705292625,0.283827245,13.48590088,39.02888489,0.358078003,79.1199646,0.003417969,7.885740757,28.66074371,0.175520614,363.8434143,-0.411662937,8.220115297,28.66074371,1.643,0.025
2021,2021-03-24-3-MD-4,3-MD-4,March,winter,24/03/2021,MD,MD4,MD4-1,surface,0.0642995,0.041190813,2.42284975,1.562367375,0.264064491,15.16241455,10.71927261,0.760314941,91.230896,66.61767578,8.182818413,0.581987977,0.156871438,325.1616516,-0.799196737,9.137559889,21.60762596,1.643,0.119
2021,2021-03-24-3-MD-4,3-MD-4,March,winter,24/03/2021,MD,MD4,MD4-2,middle,0.066481,0.033486,2.12758275,1.66681275,0.256349444,14.54315186,15.94693756,0.3540802,89.28530884,2.618164063,8.165820122,5.767023087,0.154428035,320.3270264,-0.684078214,9.063911013,21.60762596,1.1125,0.119
2021,2021-03-24-3-MD-4,3-MD-4,March,winter,24/03/2021,MD,MD4,MD4-3,bottom,0.13083525,0.036788063,2.217217375,1.716286875,0.235446364,13.45074463,31.91777802,0.387939453,89.10001373,0.015136719,8.092197418,21.60762596,0.145339906,302.0830994,-0.46386983,9.265954005,21.60762596,2.9435,0.119
2021,2021-05-09-5-PX-4,5-PX-4,May,spring,9/05/2021,PX,PX4,PX4-1,surface,0.14304,0.139582438,2.74128875,2.620331875,0.265002787,22.83642578,10.79793453,6.208084106,163.1120758,108.9702148,9.176212311,0.66000843,0.133603349,276.4258728,-2.316802794,13.97997399,15.24489212,403.8525,0.093
2021,2021-05-09-5-PX-4,5-PX-4,May,spring,9/05/2021,PX,PX4,PX4-2,middle,0.0944,0.098130313,2.4679475,2.301843,0.257664472,19.43493652,16.17120743,0.586929321,51.64946747,1.168457031,7.797647953,5.989463806,0.139274076,288.3096924,-1.545197909,4.732355988,15.24489212,20.2275,0.093
2021,2021-05-09-5-PX-4,5-PX-4,May,spring,9/05/2021,PX,PX4,PX4-3,bottom,0.11416,0.0837815,2.84642,1.98644625,0.305503577,18.17129517,25.50273132,0.461746216,49.08882141,4.88E-04,7.75796032,15.24489212,0.16978462,351.3264771,-1.233593823,4.614136815,15.24489212,6.2775,0.093
2021,2021-05-09-5-PX-5,5-PX-5,May,spring,9/05/2021,PX,PX5,PX5-1,surface,0.07768,0.072621313,2.27871125,2.178158,0.284420043,22.37948608,10.72327137,9.200134277,80.65222931,45.58544922,7.988791943,0.58595413,0.144621968,299.4058533,-2.202157353,6.972967576,25.16027641,11.8575,0.027
2021,2021-05-09-5-PX-5,5-PX-5,May,spring,9/05/2021,PX,PX5,PX5-2,middle,0.0792,0.074215625,2.21863625,2.230724125,0.25814864,19.38851929,15.9527483,0.662490845,51.35786819,0.167480469,7.758060455,5.77278614,0.13967222,289.1382751,-1.536587558,4.710034333,25.16027641,16.74,0.027
